Link,Comment ID,Time,Username,raw_content of comment,cleaned,length,informality,swear,politeness,numeric politeness,algorithm's confidence,politeness
https://twitter.com/NASA/status/892918956650106881,'892919943712223232,3/8/17 01:27,Rowan,@NASA @NASAVoyager HELP,HELP,4,0,0,impolite,-1,67%,impolite
https://twitter.com/NASA/status/892918956650106881,'893061058587312128,3/8/17 10:48,Cyndicat,@NASA @NASAVoyager Help,Help,4,0,0,impolite,-1,67%,impolite
https://twitter.com/NASA/status/893576652772560897,'893815110946349056,5/8/17 12:45,pasamjayasurya,@NASA Nice,Nice,4,0,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/898163671402237953,'898166593242320897,17/8/17 12:56,Amar Kumar Swarnkar,@NASA @Twitter Nice,Nice,4,0,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/898163671402237953,'898418514637185027,18/8/17 05:37,Chup_kar_be,@NASA @Twitter Nice,Nice,4,0,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/898163671402237953,'898513556911431680,18/8/17 11:55,Md.jalal uddin,@NASA @Twitter NICE,NICE,4,0,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/898163671402237953,'898951903207403521,19/8/17 16:56,Maggie Barajas Rodri,@NASA @Twitter Nice,Nice,4,0,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/899037827626930176,'899278076634386433,20/8/17 14:32,Timothy Al Evans,@NASA @Gutenvirt Cool,Cool,4,100,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/899037827626930176,'899614855052881920,21/8/17 12:51,Robert,@NASA @BocaLibrary Okay,Okay,4,100,0,impolite,-1,67%,impolite
https://twitter.com/NASA/status/899336381021007872,'900782811627388929,24/8/17 18:12,waheed,@NASA Good,Good,4,0,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/899667251833516032,'899667984838520832,21/8/17 16:22,favi?,@NASA @Twitter @Periscope Cool,Cool,4,100,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/899667251833516032,'899676393470144512,21/8/17 16:55,Slav,@NASA @Twitter @Periscope Cool,Cool,4,100,0,neutral,0,97%,neutral
https://twitter.com/NASA/status/899667251833516032,'899677442591387648,21/8/17 16:59,Gündem ?e?me,@NASA @Twitter @Periscope Live,Live,4,0,0,impolite,-1,67%,impolite
https://twitter.com/NASA/status/899695874414059522,'899995037525848064,22/8/17 14:01,chan majok bol,@NASA nice,nice,4,0,0,neutral,0,93%,neutral
