Link,Comment ID,Time,Username,raw_content of comment,cleaned,length,informality,swear,politeness,numeric politeness,algorithm's confidence
https://twitter.com/NASA/status/959194207574347776,'959196263114858497,1/2/18 22:46,Rushi Crrazy???,@NASA @NASA_SLS Cool,Cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'959629815677534208,3/2/18 03:29,U Praveen Kumar,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'959875190065856512,3/2/18 19:44,Kaye timmons,@NASA Cool,Cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'959973049045929985,4/2/18 02:13,Tegan Evans,@NASA cool,cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'959987020390064134,4/2/18 03:08,Bambang Bs,@NASA Good,Good,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'960188494353256448,4/2/18 16:29,Chris Wendler,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'960328970406453249,5/2/18 01:47,RAHUL Kharte,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'960402230133305344,5/2/18 06:38,Mansi Trivedi,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'960848486211170305,6/2/18 12:11,The,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/960584862645317632,'960600339551371264,5/2/18 19:45,"Dinesh Kumar Dubey 4th.century.citizen,panna.rewa,",@NASA nice,nice,4,0,0,impolite,-1,69%
https://twitter.com/NASA/status/960997280336707584,'961499930320887808,8/2/18 07:20,Roy Jamil Issa,@NASA @SpaceX Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/960997280336707584,'962300052545957888,10/2/18 12:19,Shaihla Warsi,@tech1125 @NASA @SpaceX True,TRUE,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/961007009918279680,'961367810281820161,7/2/18 22:35,Santos,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/961734592536481792,'961779090872127490,9/2/18 01:49,Sonam Raj,@NASA @NASANewHorizons Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/961734592536481792,'961998221479464960,9/2/18 16:20,Lawrence Openda,@NASA @NASANewHorizons Good,Good,4,0,0,neutral,0,97%
