推特链接,评论id,时间,用户名,评论内容,评论内容_清洗后,评论长度
https://twitter.com/NASA/status/973787392590172160,'973791927777792000,2018/3/14 5:24,savita,"@NASA @Space_Station ""Stephen Hawking"" challange God reality 
Toady all people must know who is God?
You don't know than u must see this video
https://t.co/fRceVAQsSq","""Stephen Hawking"" challange God reality 
Toady all people must know who is God?
You don't know than u must see this video",121
https://twitter.com/NASA/status/973787392590172160,'973935820796121089,2018/3/14 14:56,Steve Blum,@NASA @Space_Station “We only have to look at ourselves to see how intelligent life might develop into something we wouldn’t want to meet” Stephen Hawking.     Look up. Be curious. Be kind. We’re all in this together.,“We only have to look at ourselves to see how intelligent life might develop into something we wouldn’t want to meet” Stephen Hawking.     Look up. Be curious. Be kind. We’re all in this together.,196
https://twitter.com/NASA/status/973787392590172160,'973788289575550976,2018/3/14 5:09,Windie Wx,@NASA @Space_Station I pray Trump keeps his mouth to himself abt this man.,I pray Trump keeps his mouth to himself abt this man.,53
https://twitter.com/NASA/status/973787392590172160,'973788055390826497,2018/3/14 5:08,Captain Kiki,"@NASA @Space_Station May his journey to the stars be illuminated by comets, the sparkle of time, and the ancestors. https://t.co/9RwuRNFANs","May his journey to the stars be illuminated by comets, the sparkle of time, and the ancestors.",94
https://twitter.com/NASA/status/973787392590172160,'973787392590172160,2018/3/14 5:06,NASA,"Remembering Stephen Hawking, a renowned physicist and ambassador of science. His theories unlocked a universe of possibilities that we &amp; the world are exploring. May you keep flying like superman in microgravity, as you said to astronauts on @Space_Station in 2014 https://t.co/FeR4fd2zZ5","Remembering Stephen Hawking, a renowned physicist and ambassador of science. His theories unlocked a universe of possibilities that we &amp; the world are exploring. May you keep flying like superman in microgravity, as you said to astronauts on  in 2014",254
https://twitter.com/NASA/status/973787392590172160,'973795471926923265,2018/3/14 5:38,Infinity Cosmos?,"@NASA @Space_Station Stephen Hawking was born January 8, 1942, on the 300th anniversary of Galileo's death. He died today, March 14th, on the anniversary of Einstein's birth.  Time is circular - no beginning, no end.

RIP #stephenhawking","Stephen Hawking was born January 8, 1942, on the 300th anniversary of Galileo's death. He died today, March 14th, on the anniversary of Einstein's birth.  Time is circular - no beginning, no end.

RIP #stephenhawking",216
https://twitter.com/NASA/status/973787392590172160,'973806587688210432,2018/3/14 6:22,NerderDame,@astrography__ @NASA @Space_Station It’s the weirdest coincidence isn’t it. He literally did everything with science physically and metaphorically,It’s the weirdest coincidence isn’t it. He literally did everything with science physically and metaphorically,110
https://twitter.com/NASA/status/973787392590172160,'973815316877889536,2018/3/14 6:57,Captain Kiki,"@NASA @Space_Station ""But KIKI he was a scientist! He didn't believe in God!!!!""

No, but what ever awaits him across that line between death and life, I hope for Stephen, it is a beautiful place even if it is eternal peace.","""But KIKI he was a scientist! He didn't believe in God!!!!""

No, but what ever awaits him across that line between death and life, I hope for Stephen, it is a beautiful place even if it is eternal peace.",203
https://twitter.com/NASA/status/973787392590172160,'973886837256146944,2018/3/14 11:41,noops!!,@NASA An irreparable loss for the science world..RIP Stephan Hawking sir https://t.co/ao9Ycg5dLM,An irreparable loss for the science world..RIP Stephan Hawking sir,66
https://twitter.com/NASA/status/973787392590172160,'973788185171054592,2018/3/14 5:09,"Michele Halvorsen, PhD",@NASA @Space_Station Forever in the history books as one of the world's greatest minds. https://t.co/zLMvEbrYXH,Forever in the history books as one of the world's greatest minds.,66
